indicador,region,rank_2025,score_2025,rank_2024,score_2024,rank_2019,score_2019
Conflictos socioambientales activos,Amazonas,16,0.46,14,0.47,15,0.48
Delitos denunciados por minería ilegal,Amazonas,23,2.91,21,1.28,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Amazonas,24,0.43,24,0.43,23,0.26
Agua no facturada,Amazonas,13,36.2,16,40.8,5,29
Viviendas informales,Amazonas,17,72.3,20,74.7,20,69.2
Pérdidas por incendios forestales,Amazonas,14,0.44,14,0.23,14,0.16
Ejecución del gasto destinado a prevención y reducción de desastres,Amazonas,18,82,2,93.4,1,95.4
Conflictos socioambientales activos,Ancash,15,0.42,13,0.42,23,1.38
Delitos denunciados por minería ilegal,Ancash,8,0.42,14,0.51,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Ancash,16,0.76,16,0.76,19,0.42
Agua no facturada,Ancash,19,43,17,41.3,17,44
Viviendas informales,Ancash,10,61.4,10,62,4,48.1
Pérdidas por incendios forestales,Ancash,19,0.95,18,0.39,20,0.28
Ejecución del gasto destinado a prevención y reducción de desastres,Ancash,23,71.4,25,57.6,15,72.3
Conflictos socioambientales activos,Apurimac,24,1.64,24,2.1,22,0.94
Delitos denunciados por minería ilegal,Apurimac,22,1.88,24,1.89,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Apurimac,22,0.48,22,0.48,25,0.21
Agua no facturada,Apurimac,2,23.3,1,20.8,10,33.5
Viviendas informales,Apurimac,4,54.1,7,57,6,51.1
Pérdidas por incendios forestales,Apurimac,24,1.45,25,1.23,23,0.34
Ejecución del gasto destinado a prevención y reducción de desastres,Apurimac,4,93.9,3,93.4,13,75.5
Conflictos socioambientales activos,Arequipa,7,0.06,8,0.19,10,0.21
Delitos denunciados por minería ilegal,Arequipa,14,0.65,12,0.47,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Arequipa,5,2.51,5,2.51,5,2.53
Agua no facturada,Arequipa,6,31.6,6,30.7,6,29.8
Viviendas informales,Arequipa,1,49.8,2,53.4,2,41
Pérdidas por incendios forestales,Arequipa,8,0.11,13,0.14,12,0.12
Ejecución del gasto destinado a prevención y reducción de desastres,Arequipa,22,76.8,23,66.8,19,67.5
Conflictos socioambientales activos,Ayacucho,20,0.6,19,0.75,20,0.76
Delitos denunciados por minería ilegal,Ayacucho,17,1.19,19,1.15,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Ayacucho,10,0.98,10,0.98,11,1.01
Agua no facturada,Ayacucho,11,35.2,12,37,3,27.6
Viviendas informales,Ayacucho,16,72.1,14,68.3,12,59.5
Pérdidas por incendios forestales,Ayacucho,17,0.58,20,0.46,17,0.21
Ejecución del gasto destinado a prevención y reducción de desastres,Ayacucho,21,77.4,4,92.9,22,59.1
Conflictos socioambientales activos,Cajamarca,11,0.21,9,0.21,8,0.56
Delitos denunciados por minería ilegal,Cajamarca,16,0.88,15,0.63,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Cajamarca,21,0.52,21,0.52,16,0.5
Agua no facturada,Cajamarca,3,28.8,7,31.2,8,32.6
Viviendas informales,Cajamarca,14,68,9,60.8,10,58.6
Pérdidas por incendios forestales,Cajamarca,25,1.65,23,0.87,25,0.46
Ejecución del gasto destinado a prevención y reducción de desastres,Cajamarca,12,84,12,84.8,20,65.7
Conflictos socioambientales activos,Cusco,17,0.5,20,0.79,17,0.61
Delitos denunciados por minería ilegal,Cusco,9,0.45,9,0.35,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Cusco,12,0.81,12,0.81,15,0.53
Agua no facturada,Cusco,18,40.9,20,44,15,39.8
Viviendas informales,Cusco,9,60.8,11,67.5,16,62.1
Pérdidas por incendios forestales,Cusco,21,1.01,22,0.85,21,0.3
Ejecución del gasto destinado a prevención y reducción de desastres,Cusco,5,93.1,14,83.4,16,70.4
Conflictos socioambientales activos,Huancavelica,19,0.6,21,1.17,1,0
